track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K,PID,particle_id,purity_reco,eff_true,n_shared,n_reco_hits,n_true_hits,pt,track_id,n_rows_csv
48,67226,49,147,39,39,39,117,5,-0.8760807702734392,0.24124156823511766,0.5793342268999424,35.22126896232718,85.16213135429153,1.1740422987442394,0.5997333193964193,0.6717229405952664,11,2176,0.5102040816326531,1.0,25,49,25,1.926533155697041,440,49
50,67302,42,126,39,39,32,110,5,-1.4792506263662948,0.0800527553835312,0.35140397444249577,10.006594422941399,44.27690077975447,0.6254121514338374,0.36592479983268156,0.5359830273414882,-211,1633,0.5952380952380952,1.0,25,42,25,8.594030079072331,262,42
53,67442,46,138,39,41,42,122,5,-0.1902407282480733,16.081166956141857,19.450826471410323,2203.1198729914345,2684.214053054625,137.69499206196465,20.182060549282895,1.9202469184048194,-211,1749,0.4782608695652174,0.9565217391304348,22,46,23,0.2489658611135269,263,46
55,67517,48,144,39,39,42,120,5,-0.691525537286858,10.208684384587158,20.384285912001943,1459.8418669959638,2935.3371713282795,60.82674445816516,21.11753360667827,1.057925896179795,-211,187,0.4791666666666667,1.0,23,48,23,0.3853336216838598,11,48
56,67525,49,147,39,78,39,156,5,-0.5249162800425914,0.005225551904323994,0.008832840938305862,0.7629305780313032,1.2984276179309617,0.7629305780313032,0.009143856464302547,4.424084812488269,211,1224,0.4897959183673469,0.96,24,49,25,68.43731938788952,214,49
57,67583,49,147,39,39,32,110,5,0.6599315807352176,0.039337273253572794,0.020332913291761942,5.743241895021628,2.9889382538890055,0.15522275391950346,0.02104886094288032,1.9980147606218541,211,267,0.5102040816326531,1.0,25,49,25,9.022295993814437,44,49
73,68132,49,147,39,39,32,110,5,-0.39214941268136094,0.7086932879738248,1.048978641693496,103.46922004417843,154.1998603289439,2.796465406599417,1.0859145093587599,0.9459337672052758,211,2580,0.5102040816326531,1.0,25,49,25,1.1198732071087334,494,49
77,68268,47,141,32,32,32,96,5,0.4466452170208673,0.06554196531821196,0.0419318387195938,9.175875144549675,5.912389259462726,0.20390833654554832,0.043473450437225926,1.5455201452177354,-211,2085,0.5319148936170213,1.0,25,47,25,3.60417230442719,350,47
87,68504,43,129,39,39,32,110,5,-4.09203446619421,0.4992808231762939,29.88772606329422,63.90794536656562,3855.5166621649546,3.3635760719245065,31.092876307781893,-2.223974020197669,-211,1191,0.5813953488372093,1.0,25,43,25,1.1646394291796929,85,43
89,68544,37,111,41,39,39,119,5,-4.877039276615963,0.30123454249922893,39.53447871048206,33.135799674915184,4388.327136863509,33.135799674915184,41.399312611919896,-0.2226500180238137,211,531,0.6756756756756757,1.0,25,37,25,0.4567909806465097,77,37
92,68587,31,93,42,41,77,160,5,-8.91763065922386,0.003277001261521423,24.454252689344564,0.3014841160599709,2274.2455001090443,0.3014841160599709,25.843698864875503,-4.45110476084987,-211,1950,0.8064516129032258,1.0,25,31,25,0.8648907445452286,165,31
94,68671,49,147,39,39,39,117,5,-2.8523342112285808,16.06512485200525,278.3794122415698,2345.508228392767,40921.773599510765,78.18360761309222,288.1815042219068,-1.3045305003598753,321,1713,0.5102040816326531,1.0,25,49,25,0.7248620558423513,80,49
97,68904,45,135,39,32,16,87,5,0.7194207983859409,0.008980648140737771,0.004373883369272461,1.2034068508588613,0.5904742548517823,0.025070976059559612,0.004542109652706018,1.708319259446114,-2212,860,0.5555555555555556,1.0,25,45,25,8.446124910276902,152,45
