track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K
18,event100000019-hits,37,111,32,32,32,96,5,-15.654556791932798,0.1452109827604228,913454.871041797,15.973208103646508,101393490.68563947,1.0648805402431005,956542.3649588629,-13.70821773444286
19,event100000020-hits,29,87,32,32,32,96,5,-14.384911980257652,0.054286913019942845,95936.31708635663,4.6686745197150845,8346459.586513028,4.6686745197150845,101786.09251845155,-9.989753555394476
20,event100000021-hits,25,75,32,32,32,96,5,-41.02906115273632,5.1139050958792356e-15,3368.585077302622,3.7842897709506345e-13,252643.88079769665,3.7842897709506345e-13,3609.198297109952,-36.7939889310191
21,event100000022-hits,25,75,32,32,32,96,5,-13.755514457495034,0.024956870660331126,23503.587309932132,1.8468084288645032,1762769.0482449098,1.8468084288645032,25182.414974927284,-9.520442235777816
22,event100000023-hits,25,75,32,32,32,96,5,-15.060155220077608,0.033595276238305535,116632.75254135042,2.4860504416346094,8747456.440601282,2.4860504416346094,124963.66343716117,-10.82508299836039
23,event100000024-hits,71,213,32,32,39,103,5,-14.294943526327094,1.1307152093209034,1826284.0514646538,239.71162437603152,388998502.9619713,2.1791965852366504,1870185.1103940927,-13.662591703455604
24,event100000025-hits,53,159,32,39,39,110,5,-14.888031810000271,1.8731124538903217,5474619.158248603,295.95176771467084,870464446.1615279,6.039831994176956,5652366.533516414,-13.749208674890532
25,event100000026-hits,25,75,32,32,32,96,5,-15.660137551612747,0.02861838139912448,181032.43449012324,2.1177602235352113,13577432.586759243,2.1177602235352113,193963.32266798918,-11.42506532989553
26,event100000027-hits,25,75,32,32,32,96,5,-46.00376671197681,3.2433429958916437e-18,309.1540278831088,2.4000738169598163e-16,23186.552091233163,2.4000738169598163e-16,331.23645844618807,-41.76869449025959
27,event100000028-hits,57,171,32,39,32,103,5,-9.98961553569371,116.91390128480126,2548596.346276431,19875.363218416212,435809975.21326965,292.2847532120031,2625361.29646548,-9.103000571965671
28,event100000029-hits,25,75,32,32,32,96,5,-12.884426124772627,0.04760152772711666,18761.003293994927,3.522513051806633,1407075.2470496194,3.522513051806633,20101.074957851706,-8.649353903055408
29,event100000030-hits,101,303,42,39,39,120,5,-6.53103940304081,14357.266134664846,9850678.036026249,4335894.372668783,2984755444.915953,23693.41187250701,10015957.86884548,-6.046737857511326
30,event100000031-hits,33,99,39,39,42,120,5,-14.25652050540925,0.34793012355222597,540779.4975458691,34.097152108118145,53537170.25704104,34.097152108118145,569544.3644366068,-9.723378094603266
31,event100000032-hits,39,117,32,32,32,96,5,-15.28124848150056,0.2429628491477404,1052208.3984061128,28.18369050113789,123108382.6135152,1.342080500054185,1099181.9876206715,-13.615855791620278
32,event100000033-hits,25,75,32,32,32,96,5,-14.895476257198458,0.0034913877803382097,10280.665560852254,0.2583626957450275,771049.917063919,0.2583626957450275,11014.998815198844,-10.66040403548124
33,event100000034-hits,25,75,32,32,32,96,5,-40.11583520852646,3.217957778106363e-15,850.4841210795512,2.3812887557987085e-13,63786.30908096634,2.3812887557987085e-13,911.2329868709477,-35.88076298680924
34,event100000035-hits,43,129,39,39,39,117,5,-13.514222203632649,3.2499030738828703,2404487.5841776365,415.9875934570074,310178898.3589151,34.66563278808395,2501442.728700928,-11.186629428257667
35,event100000036-hits,25,75,32,32,32,96,5,-45.33686654268454,1.875699984733377e-16,9177.287583290441,1.3880179887026989e-14,688296.5687467831,1.3880179887026989e-14,9832.808124954045,-41.10179432096732
36,event100000037-hits,25,75,32,32,32,96,5,-14.169652052283785,0.010316731318234067,14700.896399351954,0.7634381175493209,1102567.2299513966,0.7634381175493209,15750.960427877095,-9.934579830566566
37,event100000038-hits,25,75,32,32,32,96,5,-43.54515654523578,4.73242836986441e-15,38592.707723296946,3.5019969936996635e-13,2894453.0792472707,3.5019969936996635e-13,41349.329703532436,-39.31008432351855
38,event100000039-hits,39,117,32,32,42,106,5,-7.769065979380442,109.30157521733766,258635.95850464606,12678.982725211168,30260407.14504359,1152.6347932010153,270182.2066521749,-5.457046124575109
39,event100000040-hits,41,123,32,32,32,96,5,-15.806598785881693,0.36895488185522707,2702040.73178703,45.0124955863377,332351010.0098047,1.6671294661606555,2816533.983133938,-14.339914338059518
40,event100000041-hits,25,75,32,32,32,96,5,-37.73540039389386,1.8639401882107326e-15,45.57305427603233,1.379315739275942e-13,3417.979070702425,1.379315739275942e-13,48.82827243860607,-33.500328172176644
41,event100000042-hits,25,75,32,32,32,96,5,-15.405725406378965,0.0003662880150746264,1796.5704102238678,0.02710531311552235,134742.7807667901,0.02710531311552235,1924.8968680970013,-11.170653184661747
42,event100000043-hits,27,81,32,32,32,96,5,-16.017332441966907,0.3250037051120483,2938511.579356752,26.000296408963862,238019437.9278969,26.000296408963862,3131834.7095775907,-11.699021621679135
43,event100000044-hits,53,159,39,32,32,103,5,-14.465311117302633,0.2605534790161989,499001.29612354457,41.16744968455943,79341206.08364359,0.7351330300814184,515202.6369067765,-13.460019374817419
44,event100000045-hits,25,75,32,32,32,96,5,-40.48868226929596,2.4071923461853845e-15,923.6811544626491,1.7813223361771847e-13,69276.08658469869,1.7813223361771847e-13,989.6583797814097,-36.25361004757874
45,event100000046-hits,73,219,39,32,32,103,5,-9.931192091344167,25.288319515012088,519974.3181799155,5512.853654272635,113874375.68140149,47.52460046786754,532123.2508476705,-9.323382934456092
46,event100000047-hits,25,75,32,32,32,96,5,-13.468583354341394,0.21889420784203606,154726.85557207625,16.19817138031067,11604514.167905718,16.19817138031067,165778.77382722453,-9.233511132624177
47,event100000048-hits,25,75,32,32,32,96,5,-12.406560230414003,0.007888673912609653,1927.9894443848707,0.5837618695331144,144599.2083288653,0.5837618695331144,2065.702976126647,-8.171488008696786
48,event100000049-hits,25,75,32,32,32,96,5,-15.448955759800782,0.030604543088774215,156740.82838929645,2.264736188569292,11755562.129197234,2.264736188569292,167936.60184567477,-11.213883538083564
49,event100000050-hits,25,75,32,32,32,96,5,-15.448955759800782,0.030604543088774215,156740.82838929645,2.264736188569292,11755562.129197234,2.264736188569292,167936.60184567477,-11.213883538083564
50,event100000051-hits,41,123,41,42,77,160,5,-7.14329288773618,259.4832377757139,328399.1255974686,31656.9550086371,40393092.44848864,31656.9550086371,342314.342783802,-2.3807715739096764
51,event100000052-hits,25,75,32,32,32,96,5,-17.88639652826623,0.002500426056771339,146547.13398007603,0.18503152820107907,10991035.048505703,0.18503152820107907,157014.78640722434,-13.65132430654901
