track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K,PID,particle_id,purity_reco,eff_true,n_shared,n_reco_hits,n_true_hits,pt,track_id,n_rows_csv
76,68243,25,75,42,42,42,126,5,-26.493617564949385,7.946015653445947e-17,2.547893849166525e-05,5.8800515835500006e-15,0.0019109203868748936,5.8800515835500006e-15,2.7298862669641337e-05,-22.258545343232164,211,899,0.04,0.04,1,25,25,0.3743006812710872,117,25
78,68291,25,75,32,32,32,96,5,-36.02494617158943,1.0224085288102594e-17,0.045191816349427746,7.56582311319592e-16,3.389386226207081,7.56582311319592e-16,0.04841980323152973,-31.789873949872206,-2112,2216,0.84,0.84,21,25,25,0.6031981432332165,110,25
79,68304,22,66,32,32,32,96,5,-26.980081951906257,1.9094720507448507e-16,9.958960708327133e-05,1.241156832984153e-14,0.006572914067495908,1.241156832984153e-14,0.00010775268963108047,-22.884475559863734,-211,1815,0.9545454545454546,0.9545454545454546,21,22,22,0.2400270818053663,131,22
80,68325,26,78,42,42,42,126,5,-28.048669233317508,8.236479441273333e-16,0.0012506157433951506,6.342089169780467e-14,0.09754802798482175,6.342089169780467e-14,0.0013362743559564624,-23.771113197005022,-211,1592,0.9615384615384616,1.0,25,26,25,0.3124355933628561,206,26
81,68335,25,75,32,32,32,96,5,-29.263288425879963,5.374615819846029e-16,0.0027493631774882345,3.977215706686062e-14,0.20620223831161757,3.977215706686062e-14,0.002945746261594537,-25.028216204162742,-2112,957,0.92,0.92,23,25,25,6.714068960027146,218,25
82,68403,25,75,32,32,32,96,5,-32.24931201328391,6.300894516362644e-18,0.0006384111473671904,4.662661942108357e-16,0.047880836052539275,4.662661942108357e-16,0.0006840119436077039,-28.0142397915667,-211,1802,0.96,0.96,24,25,25,0.3026549190084311,148,25
83,68403,20,60,32,32,32,96,5,-24.52428869087677,8.843777315676201e-14,0.003957318903824001,5.2178286162489584e-12,0.23743913422944007,5.2178286162489584e-12,0.004317075167808001,-20.53376262396068,2212,1377,0.95,0.76,19,20,25,7.033166001169033,173,20
84,68418,25,75,39,32,32,103,5,-26.69576445086277,5.626134567646336e-16,0.0002208174074951919,4.163339580058288e-14,0.016561305562139392,4.163339580058288e-14,0.0002365900794591342,-22.460692229145554,321,959,0.04,0.04,1,25,25,2.424836901731743,154,25
85,68442,25,75,32,32,39,103,5,-27.158319439341597,7.461746907126554e-15,0.004651026184410159,5.52169271127365e-13,0.34882696383076195,5.52169271127365e-13,0.004983242340439457,-22.923247217624375,211,897,0.96,0.96,24,25,25,22.527017601094027,131,25
86,68484,24,72,32,32,32,96,5,-39.81239317379767,2.8766817889726004e-17,5.612992872826357,2.0424440701705464e-15,404.1354868434977,2.0424440701705464e-15,6.031872937962652,-35.621686796381454,2212,1656,0.9583333333333334,1.0,23,24,23,0.4567242056208539,142,24
88,68516,22,66,32,32,32,96,5,-18.347320402136777,5.764342169589089e-14,5.356606708206715e-06,3.746822410232908e-12,0.0003535360427416432,3.746822410232908e-12,5.795672831830216e-06,-14.251714010094254,-321,1948,0.0454545454545454,0.0434782608695652,1,22,23,12.935498212283902,327,22
90,68550,25,75,32,32,32,96,5,-25.54619159769779,1.0863903724265412e-17,1.3506908342576937e-06,8.039288755956405e-16,0.00010130181256932704,8.039288755956405e-16,1.4471687509903863e-06,-21.31111937598057,-211,390,0.04,0.04,1,25,25,1.5380013003895674,26,25
91,68571,21,63,32,32,32,96,5,-24.826469707294926,7.481404048356145e-14,0.004528787147244105,4.63847050998081e-12,0.28531359027637865,4.63847050998081e-12,0.004919199832351356,-20.78202703809495,15,1268,0.0476190476190476,0.04,1,21,25,14.142135623730953,235,21
