track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K
24,event100000025-hits,134,402,32,32,39,103,5,-2.690087369517782,119981.76380434207,1767686.8959337778,48112687.28554117,710610132.1653787,160911.99761050558,1789949.9550765206,-2.4090853235337293
25,event100000026-hits,195,585,32,32,32,96,5,-2.1452819434798323,449230.88165874174,3838430.7841791674,262350834.88870516,2245482008.744813,536504.7748235279,3871520.704732436,-1.9763271938178688
26,event100000027-hits,155,465,32,39,32,103,5,-1.4274719704046301,708848.1137805874,2954584.3144252663,328905524.79419255,1373881706.207749,908578.7977740125,2986699.361321193,-1.1900425461083617
27,event100000028-hits,233,699,32,32,39,103,5,-1.873651076768489,167421.85093525297,1090255.9428124253,116860451.95280658,762088904.0258853,196074.58381343386,1098110.812717414,-1.7228514227984721
28,event100000029-hits,134,402,32,32,32,96,5,-2.4458127389848277,153197.7647227593,1767890.67451189,61432303.65382648,710692051.1537797,200759.16226740682,1790156.3001354653,-2.18795222156247
29,event100000030-hits,195,585,32,32,32,96,5,-2.1264985987274296,457812.9908772543,3838970.0082939668,267362786.6723165,2245797454.8519707,546754.1649740624,3872064.5773309837,-1.957543849065466
30,event100000031-hits,155,465,32,39,32,103,5,-1.478857395575431,673430.6600764713,2954966.0226740013,312471826.27548265,1374059200.5434105,863181.8405400073,2987085.2185726315,-1.2414279712791623
31,event100000032-hits,233,699,32,39,32,103,5,-1.9578754108090377,153924.11420251138,1090438.4334315371,107439031.71335295,762216464.9686445,180266.83173381368,1098294.6181104388,-1.8070757568390208
32,event100000033-hits,134,402,32,32,39,103,5,-2.668709977809309,122627.11135445126,1768448.8997154622,49173471.65313496,710916457.6856158,164459.77141516708,1790721.5558831631,-2.3877079318252568
33,event100000034-hits,195,585,32,32,32,96,5,-2.11807888665489,461667.93508674327,3838837.1111690984,269614074.09065807,2245719710.0339227,551358.0247252721,3871930.534541246,-1.9491241369929266
