track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K
29,event100000030-hits,43,129,3,3,3,9,5,-0.04352871406783786,0.7554673248656357,0.789078055147595,96.69981758280137,101.79106911403976,0.8058318131900114,0.8208957186616109,-0.018521031686902015
30,event100000031-hits,56,168,3,3,3,9,5,-0.022372241025943387,0.7808703340398436,0.7985370383788728,130.4053457846539,134.15422244765062,0.8201594074506534,0.8230320395561388,-0.0034964094259162656
31,event100000032-hits,21,63,3,3,3,9,5,-0.02330943054447327,0.48494632650715996,0.4963829216676336,30.066672243443918,31.272124065060915,0.5567902267304429,0.5391745528458778,0.03214919209123057
32,event100000033-hits,29,87,3,3,3,9,5,-0.09618854688372354,0.5801044147131101,0.6386756015010292,49.88897966532747,55.56477733058954,0.6396023034016343,0.6776192357388968,-0.05773894871013814
33,event100000034-hits,43,129,3,3,3,9,5,-0.01581101791789972,0.8626754626799555,0.8764236398094423,110.42245922303431,113.05864953541806,0.9201871601919526,0.9117633027049843,0.009196664463036068
34,event100000035-hits,56,168,3,3,3,9,5,-0.060800135723701444,0.5512098774969952,0.5857632954235407,92.0520495419982,98.40823363115483,0.5789437078113094,0.6037314946696615,-0.041924304123674386
35,event100000036-hits,21,63,3,3,3,9,5,-0.022850496351141097,0.8035146269800333,0.8220867176736332,49.817906872762066,51.79146321343889,0.9225538309770753,0.8929562623006705,0.032608126284562874
36,event100000037-hits,29,87,3,3,3,9,5,-0.0015562805959672657,0.7852029097611318,0.7864258571913354,67.52745023945734,68.41904957564618,0.8657365415315044,0.8343786533615388,0.036893317577618025
37,event100000038-hits,43,129,3,3,3,9,5,-0.014251060918858654,0.7047812121056436,0.7148970012545,90.21199514952238,92.2217131618305,0.7517666262460199,0.7437234932405685,0.010756621462077372
38,event100000039-hits,56,168,3,3,3,9,5,-0.007698517208831207,0.6961044692830065,0.7014841226261376,116.24944637026209,117.84933260119111,0.731128593523661,0.7230020404981049,0.011177314391196121
39,event100000040-hits,21,63,3,3,3,9,5,-0.06599190102129321,0.6907502562920353,0.7378719026273819,42.826515890106194,46.48592986552506,0.7930836275945592,0.8014815494056045,-0.0105332783855893
40,event100000041-hits,29,87,3,3,3,9,5,-0.0018651894761820417,0.6755339099107504,0.6767950844494303,58.09591625232453,58.88117234710043,0.7448194391323657,0.7180630774036638,0.03658440869740328
41,event100000042-hits,43,129,3,3,3,9,5,0.0023457567493040616,0.8004156488386922,0.7985402688807287,102.4532030513526,103.011694685614,0.853776692094605,0.8307394732710807,0.027353439130239972
42,event100000043-hits,56,168,3,3,3,9,5,-0.0013612751594372526,0.5972461635031356,0.5980597334902551,99.74010930502365,100.47403522636286,0.6272962849372556,0.6164051240881157,0.0175145564405898
43,event100000044-hits,21,63,3,3,3,9,5,-0.08116051145677847,0.9288937080989212,1.007426993663857,57.591409902133115,63.467900600822986,1.0665075907802428,1.0942741482900515,-0.02570188882107483
44,event100000045-hits,29,87,3,3,3,9,5,-0.0005473102747300722,0.5547373075427378,0.5550410040714663,47.707408448675444,48.28856735421757,0.6116334416496851,0.5888849677343606,0.03790228789885503
