track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K
24,event66155_track555-hits,26,78,39,39,39,117,5,-23.6719153751064,3.5226708934188607e-13,0.0067213156968314825,2.7124565879325226e-11,0.5242626243528556,2.7124565879325226e-11,0.007181679785655557,-19.39435933879392
25,event66191_track148-hits,25,75,32,39,32,103,5,-22.307092750603164,1.4163021217757468e-16,6.902448812516238e-07,1.0480635701140526e-14,5.176836609387178e-05,1.0480635701140526e-14,7.395480870553112e-07,-18.072020528885947
26,event66191_track180-hits,25,75,32,32,32,96,5,-28.123233643783998,1.9088729496891666e-16,0.00031227858905602665,1.4125659827699832e-14,0.023420894179201998,1.4125659827699832e-14,0.00033458420256002856,-23.888161422066776
27,event66207_track168-hits,21,63,32,32,32,96,5,-20.043190028235678,7.424979849214916e-15,3.761335806757826e-06,4.603487506513248e-13,0.00023696415582574303,4.603487506513248e-13,4.085588893547294e-06,-15.998747359035699
28,event66236_track283-hits,24,72,32,32,32,96,5,-33.57372418573928,2.2295780174496224e-15,0.8493874201853836,1.583000392389232e-13,61.15589425334762,1.583000392389232e-13,0.9127745410947405,-29.38301780832305
29,event66244_track290-hits,25,75,32,32,32,96,5,-39.590140156673655,6.364310779629024e-19,0.0994330558359557,4.7095899769254773e-17,7.457479187696677,4.7095899769254773e-17,0.10653541696709538,-35.35506793495644
30,event66267_track221-hits,25,75,39,32,39,110,5,-26.48821165358066,1.4833692072762784e-16,4.7307872322955785e-05,1.0976932133844461e-14,0.003548090424221684,1.0976932133844461e-14,5.068700606030977e-05,-22.25313943186344
31,event66306_track149-hits,20,60,32,32,32,96,5,-25.75291688743855,2.6632646212306086e-15,0.0004071589794130594,1.5713261265260591e-13,0.024429538764783564,1.5713261265260591e-13,0.00044417343208697386,-21.76239082052246
32,event66409_track225-hits,26,78,39,32,39,110,5,-28.770969005864252,4.0738465047088675e-17,0.0001273731061617858,3.136861808625828e-15,0.009935102280619293,3.136861808625828e-15,0.00013609729151533277,-24.49341296955177
33,event66437_track3-hits,25,75,39,32,32,103,5,-26.26593706572264,3.722983506481714e-15,0.0009506981348456052,2.755007794796468e-13,0.0713023601134204,2.755007794796468e-13,0.0010186051444774343,-22.03086484400542
35,event66512_track248-hits,25,75,32,32,32,96,5,-24.77764781092844,5.527822346713521e-16,3.186763219529923e-05,4.090588536568006e-14,0.0023900724146474423,4.090588536568006e-14,3.4143891637820606e-05,-20.54257558921122
36,event66571_track190-hits,25,75,32,32,32,96,5,-26.841222426023883,4.955051961341452e-16,0.0002249277299662303,3.666738451392675e-14,0.01686957974746727,3.666738451392675e-14,0.00024099399639238958,-22.606150204306665
37,event66607_track136-hits,25,75,32,32,32,96,5,-31.5819101597544,7.062762453900701e-17,0.00367133411555476,5.226444215886519e-15,0.275350058666607,5.226444215886519e-15,0.003933572266665814,-27.346837938037183
38,event66623_track58-hits,26,78,32,32,39,103,5,-27.86263071458854,2.9644813363861965e-16,0.0003737106642789646,2.2826506290173712e-14,0.029149431813759237,2.2826506290173712e-14,0.0003993072851199895,-23.585074678276058
39,event66637_track330-hits,25,75,32,32,32,96,5,-27.290460202291293,5.887864336680487e-17,4.1884570775896464e-05,4.35701960914356e-15,0.003141342808192235,4.35701960914356e-15,4.4876325831317644e-05,-23.055387980574075
41,event66652_track343-hits,30,90,39,42,39,120,5,-30.60772876449695,1.8640811398378144e-15,0.036579058109228804,1.6590322144556548e-13,3.2921152298305922,1.6590322144556548e-13,0.038730767409771674,-26.176250808604763
